Jugador,Salario
Nicolò Melli,4102564
Nickeil Alexander-Walker,2964840
Josh Hart,1934160
Jahlil Okafor,1702486
Frank Jackson,1618520
Kenrich Williams,1416852
Sindarius Thornwell,183115
Josh Gray,0
Zylan Cheatham,0
Chris Paul,38506482
Steven Adams,25842697
Danilo Gallinari,22615559
Dennis Schröder,15500000
Andre Roberson,10740741
Shai Gilgeous-Alexander,3952920
Terrance Ferguson,2475840
Darius Bazley,2284800
Mike Muscala,2028594
Nerlens Noel,2028594
Abdel Nader,1618520
Isaiah Roby,1500000
Deonte Burton,1416852
Hamidou Diallo,1416852
Kyle Singler,999200
Patrick Patterson,737067
Luguentz Dort,155647
Kevin Hervey,0
Devon Hall,0
Karl-Anthony Towns,27285000
D'Angelo Russell,27285000
Evan Turner,18606557
Allen Crabbe,17818456
James Johnson,15349400
Jarrett Culver,5813640
Jake Layman,3581986
Juancho Hernangómez,3321030
Malik Beasley,2731714
Josh Okogie,2530680
Jacob Evans,1925880
Omari Spellman,1897800
Jarred Vanderbilt,1416852
Jaylen Nowell,1400000
Naz Reid,898310
Cole Aldrich,685340
Jordan McLaughlin,0
Kelan Martin,0
LeBron James,37436858
Anthony Davis,27093019
Danny Green,14634146
Kentavious Caldwell-Pope,8089282
Luol Deng,5000000
Avery Bradley,4767000
JaVale McGee,4000000
DeMarcus Cousins,3500000
Quinn Cook,3000000
Alex Caruso,2750000
Jared Dudley,2564753
Rajon Rondo,2564753
Dwight Howard,2564753
Troy Daniels,2028594
Kyle Kuzma,1974600
Markieff Morris,1750000
Talen Horton-Tucker,898310
Dion Waiters,503656
J.R. Smith,289803
Demetrius Jackson,18312
Jordan Caroline,6000
Kostas Antetokounmpo,0
Devontae Cacok,0
Stephen Curry,40231758
Klay Thompson,32742000
Andrew Wiggins,27504630
Draymond Green,18539130
Kevon Looney,4464286
Jordan Poole,1964760
Marquese Chriss,1413272
Alen Smailagić,898310
Eric Paschall,898310
Damion Lee,842327
Shaun Livingston,666667
Ky Bowman,350189
Juan Toscano-Anderson,350189
Mychal Mulder,238534
Dragan Bender,189702
Chasson Randle,91557
Jeremy Pargo,91557
Zach Norvell,50752
Paul George,33005556
Kawhi Leonard,32742000
Marcus Morris,15000000
Patrick Beverley,12345679
Lou Williams,8000000
Ivica Zubac,6481482
Montrezl Harrell,6000000
Rodney McGruder,4807693
JaMychal Green,4767000
Patrick Patterson,2331593
Isaiah Thomas,2320044
Landry Shamet,1995120
Mfiondu Kabengele,1977000
Terance Mann,1000000
Reggie Jackson,734025
Joakim Noah,434704
Justin Patton,183115
Johnathan Motley,0
Amir Coffey,0
Devin Booker,27285000
Tyler Johnson,19245370
Ricky Rubio,16200000
Kelly Oubre,15625000
Deandre Ayton,9562920
Aron Baynes,5453280
Frank Kaminsky,4767000
Mikal Bridges,4161000
Cameron Johnson,4033440
Dario Šarić,3481986
Kyle Korver,3440000
Ty Jerome,2193480
Cheick Diallo,1678854
Jevon Carter,1416852
Elie Okobo,1416852
Jalen Lecque,898310
Cameron Payne,196288
Jonah Bolden,81678
Tariq Owens,0
Harrison Barnes,24147727
Kent Bazemore,19269662
Cory Joseph,12000000
Marvin Bagley,8556120
Bogdan Bogdanović,8529386
Nemanja Bjelica,6825000
Jabari Parker,6500000
De'Aaron Fox,6392760
Buddy Hield,4861208
Richaun Holmes,4767000
Alex Len,4160000
Yogi Ferrell,3150000
Harry Giles,2578800
Anthony Tolliver,2419852
Matt Barnes,2133541
Justin James,898310
Corey Brewer,289803
Eric Mika,50752
Tyler Lydon,50000
Hollis Thompson,50000
Tyler Ulis,50000
DaQuan Jeffries,0
Gorgui Dieng,16229213
Jonas Valančiūnas,16000000
Justise Winslow,13000000
Miles Plumlee,12500000
Dion Waiters,12100000
Kyle Anderson,9073050
Ja Morant,8730240
Tyus Jones,8400000
Josh Jackson,7059480
Jaren Jackson,6927480
Dwight Howard,3039097
Marko Guduric,2625000
Brandon Clarke,2478840
Grayson Allen,2277563
Avery Bradley,2000000
Jordan Bell,1620564
Dillon Brooks,1618520
De'Anthony Melton,1416852
Dakari Johnson,459414
Anthony Tolliver,434704
Ivan Rabb,371758
Jontay Porter,197933
Dusty Hannahs,81678
Jarrod Uthoff,81678
John Konchar,0
Yuta Watanabe,0
Paul Millsap,30500000
Nikola Jokić,26573595
Gary Harris,17839286
Mason Plumlee,14041096
Will Barton,12776786
Jerami Grant,9346153
Jamal Murray,4444746
Michael Porter,3389400
Gerald Green,2564753
Noah Vonleh,2000000
Torrey Craig,2000000
Monte Morris,1588231
Keita Bates-Diop,1416852
Vlatko Čančar,898310
Troy Daniels,481000
PJ Dozier,183115
Tyler Cook,0
Bol Bol,0
Blake Griffin,34234964
Reggie Jackson,17286956
Brandon Knight,15643750
Tony Snell,11392857
John Henson,9732396
Langston Galloway,7333333
Derrick Rose,7317073
Josh Smith,5331729
Luke Kennard,3827160
Thon Maker,3569643
Sekou Doumbouya,3285120
Markieff Morris,2241808
Tim Frazier,1882867
Christian Wood,1645357
Jordan McRae,1645357
Khyri Thomas,1416852
Bruce Brown,1416852
Svi Mykhailiuk,1416852
Joe Johnson,220000
Donta Hall,101504
Derrick Walton,81678
Louis King,0
Jordan Bone,0
Nicolas Batum,25565217
Terry Rozier,19894737
Bismack Biyombo,17000000
Cody Zeller,14471910
Marvin Williams,14049901
Michael Kidd-Gilchrist,12189237
Malik Monk,4028400
P.J. Washington,3831840
Miles Bridges,3755400
Willy Hernangómez,1676735
Dwayne Bacon,1618520
Devonte' Graham,1416852
Cody Martin,1173310
Jalen McDaniels,898310
Caleb Martin,842166
Joe Chealey,163356
Kobi Simmons,0
Ray Spalding,0
Nikola Vučević,28000000
Aaron Gordon,19863636
Evan Fournier,17000000
Terrence Ross,12500000
Markelle Fultz,9745200
Al-Farouq Aminu,9258000
D.J. Augustin,7250000
Jonathan Isaac,5806440
Mohamed Bamba,5697600
Timofey Mozgov,5573333
Khem Birch,3000000
Michael Carter-Williams,2028594
James Ennis,1882867
Wes Iwundu,1618520
Amile Jefferson,1519851
Melvin Frazier,1416852
Gary Clark,718765
C.J. Watson,333333
Josh Magette,81678
B.J. Johnson,0
Vic Law,0
John Wall,38199000
Bradley Beal,25399705
Ian Mahinmi,15450051
C.J. Miles,8730158
Thomas Bryant,8000000
Dāvis Bertāns,7000000
Ish Smith,6000000
Rui Hachimura,4469160
Jerome Robinson,3567720
Troy Brown,3219480
Moritz Wagner,2063520
Shabazz Napier,1845301
Isaac Bonga,1416852
Gary Payton,1090781
Admiral Schofield,1000000
Jonathon Simmons,1000000
Anžejs Pasečņiks,482144
Justin Robinson,395866
Jemerrio Jones,199000
Jerian Grant,196288
Jarrod Uthoff,163356
Johnathan Williams,106181
Garrison Mathews,0
Victor Oladipo,21000000
Malcolm Brogdon,20000000
Myles Turner,17500000
T.J. Warren,10810000
Jeremy Lamb,10500000
Doug McDermott,7333334
Justin Holiday,4767000
Domantas Sabonis,3529555
T.J. McConnell,3500000
Goga Bitadze,2816760
T.J. Leaf,2813280
Monta Ellis,2245400
Aaron Holiday,2239200
Edmond Sumner,2000000
JaKarr Sampson,1737145
Alize Johnson,1416852
Naz Mitrou-Long,0
Brian Bowen,0
Otto Porter,27250576
Zach LaVine,19500000
Thaddeus Young,12900000
Tomáš Satoranský,9375000
Cristiano Felício,8156500
Kris Dunn,5348007
Coby White,5307120
Lauri Markkanen,5300400
Wendell Carter,5201400
Denzel Valentine,3377569
Ömer Aşık,3000000
Ryan Arcidiacono,3000000
Chandler Hutchison,2332320
Luke Kornet,2250000
Antonio Blakeney,1488231
Shaquille Harrison,898310
Daniel Gafford,898310
Adam Mokoka,0
Max Strus,0
Kyle Lowry,33296296
Marc Gasol,25595700
Serge Ibaka,23271604
Norman Powell,10116576
Fred VanVleet,9346153
Patrick McCaw,4000000
Stanley Johnson,3623000
Rondae Hollis-Jefferson,2500000
Pascal Siakam,2351839
OG Anunoby,2281800
Malcolm Miller,1588231
Chris Boucher,1488967
Justin Hamilton,1000000
Dewan Hernandez,898310
Terence Davis,898310
Matt Thomas,898310
Cameron Payne,150000
Isaiah Taylor,50000
Oshae Brissett,0
Paul Watson,0
Chandler Parsons,25102511
Jeff Teague,19000000
Clint Capela,14896552
Dewayne Dedmon,13333333
De'Andre Hunter,7068360
Trae Young,6273000
Cam Reddish,4245720
John Collins,2686560
Kevin Huerter,2636280
DeAndre' Bembry,2603982
Nenê Hilário,2564753
Vince Carter,2564753
Skal Labissière,2338847
Damian Jones,2305057
Treveon Graham,1645357
Derrick Walton,1445697
Bruno Fernando,1400000
Brandon Goodwin,522738
Tyrone Wallace,502491
Jaylen Adams,100000
Paul Watson,50752
Charlie Brown,0
Jimmy Butler,32742000
Goran Dragić,19217900
Andre Iguodala,17185185
Solomon Hill,12758781
Kelly Olynyk,11667885
Meyers Leonard,11286515
Jae Crowder,7815533
Ryan Anderson,5214583
Tyler Herro,3640200
Bam Adebayo,3454080
Udonis Haslem,2564753
Derrick Jones,1645357
Kendrick Nunn,1416852
Duncan Robinson,1416852
KZ Okpala,898310
Chris Silva,466918
A.J. Hammons,350087
Yante Maten,100000
Gabe Vincent,0
Kyle Alexander,0
Kevin Durant,37199000
Kyrie Irving,31742000
Spencer Dinwiddie,10605600
DeAndre Jordan,9881598
Joe Harris,7666667
Deron Williams,5474787
Garrett Temple,4767000
Taurean Prince,3481986
Caris LeVert,2625718
Wilson Chandler,2564753
Jarrett Allen,2376840
Džanan Musa,1911600
Rodions Kurucs,1699236
David Nwaba,1678854
Nic Claxton,898310
Timothé Luwawu-Cabarrot,844170
Iman Shumpert,419443
Justin Anderson,294432
Jamal Crawford,289803
Lance Thomas,262152
Tyler Johnson,212753
Donta Hall,101504
Jeremiah Martin,0
Chris Chiozza,0
Kevin Love,28942830
Andre Drummond,27093019
Tristan Thompson,18539130
Larry Nance,12727273
Matthew Dellavedova,9607500
Dante Exum,9600000
Darius Garland,6400920
Collin Sexton,4764960
Cedi Osman,2907143
Alfonzo McKinnie,2391985
Ante Žižić,2281800
Dylan Windler,2035800
J.R. Smith,1456667
Kevin Porter,1290960
Dean Wade,375000
Jordan Bell,250000
Tyler Cook,151504
J.P. Macura,106184
Sheldon Mac,91557
Malik Newman,65978
Marques Bolden,50752
Sir'Dominic Pointer,50752
Matt Mooney,0
Khris Middleton,30603448
Giannis Antetokounmpo,25842697
Eric Bledsoe,15625000
Brook Lopez,12093024
George Hill,10133907
Ersan İlyasova,7000000
Robin Lopez,4767000
Mirza Teletović,3500000
Jon Leuer,3169348
D.J. Wilson,2961120
Donte DiVincenzo,2905800
Kyle Korver,2564753
Wesley Matthews,2564753
Spencer Hawes,2007058
Larry Sanders,1865547
Pat Connaughton,1723050
Dragan Bender,1678854
Sterling Brown,1618520
Thanasis Antetokounmpo,1445697
Marvin Williams,956349
Frank Mason,0
Cameron Reynolds,0
Julius Randle,18000000
Bobby Portis,15000000
Maurice Harkless,11511234
Taj Gibson,9800000
Wayne Ellington,8000000
Elfrid Payton,8000000
RJ Barrett,7839960
Joakim Noah,6431666
Frank Ntilikina,4855800
Dennis Smith,4463640
Kevin Knox,4380120
Reggie Bullock,4000000
Allonzo Trier,3551100
Damyean Dotson,1618520
Mitchell Robinson,1559712
Theo Pinson,1445697
Ignas Brazdeikis,898310
Jared Harper,0
Kenny Wooten,0
Tobias Harris,32742000
Al Horford,28000000
Joel Embiid,27504630
Josh Richardson,10116576
Ben Simmons,8113930
Mike Scott,4767000
Zhaire Smith,3058800
Matisse Thybulle,2582160
Alec Burks,2320044
Trey Burke,2028594
Kyle O'Quinn,2028594
Glenn Robinson,1882867
Raul Neto,1737145
Jonah Bolden,1698450
Furkan Korkmaz,1620564
Shake Milton,1445697
Norvel Pelle,350189
Marial Shayok,0
Ryan Broekhoff,0
Kemba Walker,32742000
Gordon Hayward,32700690
Marcus Smart,11768879
Jayson Tatum,7830000
Jaylen Brown,6534829
Daniel Theis,5000000
Enes Freedom,4767000
Romeo Langford,3458400
Vincent Poirier,2505793
Grant Williams,2379840
Robert Williams,1937520
Semi Ojeleye,1618520
Brad Wanamaker,1355341
Carsen Edwards,1228026
Guerschon Yabusele,1039080
Javonte Green,898310
Max Strus,415414
Demetrius Jackson,92857
Tremont Waters,0
Tacko Fall,0
