No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Player-additional
28,Mfiondu Kabengele,PF,6-9,250,August 14 1997,ca,2,Florida State,kabenmf01
40,Luke Kornet,C,7-2,250,July 15 1995,us,5,Vanderbilt,kornelu01
57,Mike Muscala,C,6-10,240,July 1 1991,us,9,Bucknell,muscami01
11,Payton Pritchard,PG,6-1,195,January 28 1998,us,2,Oregon,pritcpa01
36,Marcus Smart,PG,6-3,220,March 6 1994,us,8,Oklahoma State,smartma01
0,Jayson Tatum,SF,6-8,210,March 3 1998,us,5,Duke,tatumja01
4,Noah Vonleh,C,6-10,257,August 24 1995,us,7,Indiana,vonleno01
9,Derrick White,SG,6-4,190,July 2 1994,us,5,Colorado-Colorado Springs Colorado,whitede01
12,Grant Williams,PF,6-6,236,November 30 1998,us,3,Tennessee,willigr01
44,Robert Williams,C,6-9,237,October 17 1997,us,4,Texas A&M,williro04
55,Julian Champagnie,SF,6-8,220,June 29 2001,us,R,St. John's,champju02
14,Dewayne Dedmon,C,7-0,245,August 12 1989,us,9,USC,dedmode01
21,Joel Embiid,C,7-0,280,March 16 1994,cm,6,Kansas,embiijo01
35,Michael Foster Jr.,PF,6-8,250,January 16 2003,us,R,,fostemi02
1,James Harden,PG,6-5,220,August 26 1989,us,13,Arizona State,hardeja01
5,Montrezl Harrell,C,6-7,240,January 26 1994,us,7,Louisville,harremo01
12,Tobias Harris,SF,6-8,226,July 15 1992,us,11,Tennessee,harrito02
25,Danuel House Jr.,SF,6-6,220,June 7 1993,us,6,Texas A&M,houseda01
23,Louis King,PF,6-7,205,April 6 1999,us,3,Oregon,kinglo02
30,Furkan Korkmaz,SG,6-7,202,July 24 1997,tr,5,,korkmfu01
9,Saben Lee,PG,6-2,183,June 23 1999,us,2,Vanderbilt,leesa01
0,Tyrese Maxey,SG,6-2,200,November 4 2000,us,2,Kentucky,maxeyty01
9,Mac McClung,SG,6-2,185,January 6 1999,us,1,Georgetown Texas Tech,mccluma01
7,Jalen McDaniels,SF,6-9,205,January 31 1998,us,3,San Diego State,mcdanja01
8,De'Anthony Melton,SG,6-2,200,May 28 1998,us,4,USC,meltode01
18,Shake Milton,SG,6-5,205,September 26 1996,us,4,SMU,miltosh01
20,Georges Niang,PF,6-7,230,June 17 1993,us,6,Iowa State,niangge01
44,Paul Reed,C,6-9,210,June 14 1999,us,2,DePaul,reedpa01
11,Jaden Springer,SG,6-4,204,September 25 2002,us,1,Tennessee,sprinja01
22,Matisse Thybulle,SF,6-5,201,March 4 1997,us,3,Washington,thybuma01
17,P.J. Tucker,PF,6-5,245,May 5 1985,us,11,Texas,tuckepj01
31,Jarrett Allen,C,6-11,243,April 21 1998,us,5,Texas,allenja01
21,Mamadi Diakite,C,6-9,228,January 21 1997,gn,2,Virginia,diakima01
10,Darius Garland,PG,6-1,192,January 26 2000,us,3,Vanderbilt,garlada01
14,Danny Green,SG,6-6,215,June 22 1987,us,13,UNC,greenda02
3,Caris LeVert,SG,6-6,205,August 25 1994,us,6,Michigan,leverca01
33,Robin Lopez,C,7-1,281,April 1 1988,us,14,Stanford,lopezro01
0,Kevin Love,PF,6-8,251,September 7 1988,us,14,UCLA,loveke01
5,Sam Merrill,SG,6-4,205,May 15 1996,us,2,Utah State University,merrisa01
45,Donovan Mitchell,SG,6-3,215,September 7 1996,us,5,Louisville,mitchdo01
4,Evan Mobley,PF,6-11,215,June 18 2001,us,1,USC,mobleev01
15,Isaiah Mobley,PF,6-8,240,September 24 1999,us,R,USC,mobleis01
19,Raul Neto,PG,6-1,180,May 19 1992,br,7,,netora01
35,Isaac Okoro,SF,6-5,225,January 26 2001,us,2,Auburn,okorois01
16,Cedi Osman,SF,6-7,230,April 8 1995,mk,5,,osmande01
13,Ricky Rubio,PG,6-2,190,October 21 1990,es,11,,rubiori01
8,Lamar Stevens,SF,6-6,230,July 9 1997,us,2,Penn State,stevela01
32,Dean Wade,PF,6-9,228,November 20 1996,us,3,Kansas State,wadede01
9,Dylan Windler,SF,6-6,196,September 22 1996,us,2,Belmont,windldy01
51,Ryan Arcidiacono,PG,6-3,195,March 26 1994,us,5,Villanova,arcidry01
9,RJ Barrett,SG,6-6,214,June 14 2000,ca,3,Duke,barrerj01
11,Jalen Brunson,PG,6-2,190,August 31 1996,us,4,Villanova,brunsja01
13,Evan Fournier,SG,6-6,205,October 29 1992,fr,10,,fournev01
6,Quentin Grimes,SG,6-5,205,May 8 2000,us,1,Kansas Houston,grimequ01
3,Josh Hart,SF,6-4,215,March 6 1995,us,5,Villanova,hartjo01
55,Isaiah Hartenstein,C,7-0,250,May 5 1998,us,4,,harteis01
8,DaQuan Jeffries,SG,6-5,230,August 30 1997,us,3,Oral Roberts Tulsa,jeffrda01
0 3,Trevor Keels,SG,6-5,221,August 26 2003,us,R,Duke,keelstr01
2,Miles McBride,PG,6-2,200,September 8 2000,us,1,West Virginia,mcbrimi01
17,Svi Mykhailiuk,SF,6-7,205,June 10 1997,ua,4,Kansas,mykhasv01
5,Immanuel Quickley,SG,6-3,190,June 17 1999,us,2,Kentucky,quickim01
30,Julius Randle,PF,6-8,250,November 29 1994,us,8,Kentucky,randlju01
0,Cam Reddish,SF,6-8,218,September 1 1999,us,3,Duke,reddica01
23,Mitchell Robinson,C,7-0,240,April 1 1998,us,4,Western Kentucky,robinmi01
4,Derrick Rose,PG,6-3,200,October 4 1988,us,13,Memphis,rosede01
45,Jericho Sims,C,6-10,245,October 20 1998,us,1,Texas,simsje01
1,Obi Toppin,PF,6-9,220,March 4 1998,us,2,Dayton,toppiob01
1,Mikal Bridges,SG,6-6,209,August 30 1996,us,4,Villanova,bridgmi01
0,Moses Brown,C,7-2,245,October 13 1999,us,3,UCLA,brownmo01
33,Nic Claxton,C,6-11,215,April 17 1999,us,3,Georgia,claxtni01
30,Seth Curry,SG,6-1,185,August 23 1990,us,8,Liberty Duke,curryse01
26,Spencer Dinwiddie,PG,6-5,215,April 6 1993,us,8,Colorado,dinwisp01
6,David Duke Jr.,SG,6-5,205,October 13 1999,us,1,Providence,dukeda01
7,Kevin Durant,PF,6-11,240,September 29 1988,us,14,Texas,duranke01
14,Kessler Edwards,SF,6-8,215,August 9 2000,us,1,Pepperdine,edwarke02
28,Dorian Finney-Smith,PF,6-7,220,May 4 1993,us,6,Florida,finnedo01
0,RaiQuan Gray,PF,6-8,260,July 7 1999,us,R,Florida State,grayra01
12,Joe Harris,SF,6-6,220,September 6 1991,us,8,Virginia,harrijo01
11,Kyrie Irving,PG,6-2,195,March 23 1992,au,11,Duke,irvinky01
2,Cameron Johnson,PF,6-8,210,March 3 1996,us,3,Pitt UNC,johnsca02
8,Patty Mills,PG,6-2,180,August 11 1988,au,13,Saint Mary's,millspa02
13,Markieff Morris,PF,6-9,245,September 2 1989,us,11,Kansas,morrima02
0,Nerlens Noel,C,6-10,220,April 10 1994,us,8,Kentucky,noelne01
00,Royce O'Neale,SF,6-4,226,June 5 1993,us,5,Denver Baylor,onealro01
20,Day'Ron Sharpe,C,6-11,265,November 6 2001,us,1,UNC,sharpda01
10,Ben Simmons,PG,6-10,240,July 20 1996,au,4,LSU,simmobe01
9,Dru Smith,SG,6-3,203,December 30 1997,us,R,University of Evansville Missouri,smithdr01
4,Edmond Sumner,SG,6-4,196,December 31 1995,us,4,Xavier,sumneed01
24,Cam Thomas,SG,6-4,210,October 13 2001,jp,1,LSU,thomaca02
1,T.J. Warren,PF,6-8,220,September 5 1993,us,7,NC State,warretj01
18,Yuta Watanabe,SF,6-9,215,October 13 1994,jp,4,George Washington,watanyu01
31,Alondes Williams,SG,6-4,210,June 19 1999,us,R,Triton College Oklahoma Wake Forest,willial06
13,Bam Adebayo,C,6-9,255,July 18 1997,us,5,Kentucky,adebaba01
11,Jamaree Bouyea,PG,6-2,180,June 27 1999,us,R,San Francisco,bouyeja01
22,Jimmy Butler,PF,6-7,230,September 14 1989,us,11,Marquette,butleji01
8,Jamal Cain,PF,6-7,191,March 20 1999,us,R,Marquette Oakland,cainja01
21,Dewayne Dedmon,C,7-0,245,August 12 1989,us,9,USC,dedmode01
40,Udonis Haslem,C,6-8,235,June 9 1980,us,19,Florida,hasleud01
14,Tyler Herro,SG,6-5,195,January 20 2000,us,3,Kentucky,herroty01
24,Haywood Highsmith,PF,6-7,220,December 9 1996,us,2,Wheeling University,highsha01
5,Nikola Jović,PF,6-10,209,June 9 2003,gb,R,,jovicni01
42,Kevin Love,PF,6-8,251,September 7 1988,us,14,UCLA,loveke01
7,Kyle Lowry,PG,6-0,196,March 25 1986,us,16,Villanova,lowryky01
16,Caleb Martin,SF,6-5,205,September 28 1995,us,3,NC State Nevada,martica02
4,Victor Oladipo,SG,6-3,213,May 4 1992,us,9,Indiana,oladivi01
55,Duncan Robinson,SF,6-7,215,April 22 1994,us,4,Williams Michigan,robindu01
25,Orlando Robinson,C,7-0,235,July 10 2000,us,R,Fresno State,robinor01
9,Dru Smith,SG,6-3,203,December 30 1997,us,R,University of Evansville Missouri,smithdr01
31,Max Strus,SF,6-5,215,March 28 1996,us,3,Lewis (IL) DePaul,strusma01
2,Gabe Vincent,PG,6-3,195,June 14 1996,us,3,UC Santa Barbara,vincega01
77,Omer Yurtseven,C,7-0,264,June 19 1998,tr,1,NC State Georgetown,yurtsom01
44,Cody Zeller,C,6-11,240,October 5 1992,us,9,Indiana,zelleco01
41,Saddiq Bey,SF,6-7,215,April 9 1999,us,2,Villanova,beysa01
13,Bogdan Bogdanović,SG,6-5,220,August 18 1992,rs,5,,bogdabo01
15,Clint Capela,C,6-10,240,May 18 1994,ch,8,,capelca01
20,John Collins,PF,6-9,235,September 23 1997,us,5,Wake Forest,collijo01
7,Jarrett Culver,SF,6-6,195,February 20 1999,us,3,Texas Tech,culveja01
24,Bruno Fernando,C,6-9,240,August 15 1998,ao,3,Maryland,fernabr01
2,Trent Forrest,SG,6-4,210,June 12 1998,us,2,Florida State,forretr01
14,AJ Griffin,SF,6-6,222,August 25 2003,us,R,Duke,griffaj01
3,Aaron Holiday,PG,6-0,185,September 30 1996,us,4,UCLA,holidaa01
8,Justin Holiday,SF,6-6,180,April 5 1989,us,9,Washington,holidju01
12,De'Andre Hunter,SF,6-8,225,December 2 1997,us,3,Virginia,huntede01
1,Jalen Johnson,SF,6-9,220,December 18 2001,us,1,Duke,johnsja05
0,Frank Kaminsky,C,7-0,240,April 4 1993,us,7,Wisconsin,kaminfr01
27,Vit Krejci,PG,6-8,195,June 19 2000,cz,1,,krejcvi01
22,Tyrese Martin,SG,6-6,215,March 7 1999,us,R,Rhode Island UConn,martity01
25,Garrison Mathews,SG,6-5,215,October 24 1996,us,3,Lipscomb,mathega01
5,Dejounte Murray,SG,6-5,180,September 19 1996,us,5,Washington,murrade01
17,Onyeka Okongwu,C,6-8,235,December 11 2000,us,2,USC,okongon01
4,Donovan Williams,SG,6-6,190,September 6 2001,us,R,Texas UNLV,willido02
11,Trae Young,PG,6-1,164,September 19 1998,us,4,Oklahoma,youngtr01
5,Precious Achiuwa,C,6-8,225,September 19 1999,ng,2,Memphis,achiupr01
3,OG Anunoby,SF,6-7,232,July 17 1997,gb,5,Indiana,anunoog01
45,Dalano Banton,PG,6-9,204,November 7 1999,ca,1,Nebraska,bantoda01
4,Scottie Barnes,SF,6-7,227,August 1 2001,us,1,Florida State,barnesc01
1,Will Barton,SG,6-5,181,January 6 1991,us,10,Memphis,bartowi01
24,Khem Birch,C,6-9,233,September 28 1992,ca,5,Pitt UNLV,birchkh01
25,Chris Boucher,PF,6-9,200,January 11 1993,lc,5,Oregon,bouchch01
11,Justin Champagnie,SF,6-6,200,June 29 2001,us,1,Pitt,champju01
20,Jeff Dowtin,PG,6-3,185,May 10 1997,us,1,Rhode Island,dowtije01
22,Malachi Flynn,PG,6-1,175,May 10 1998,us,2,Washington State San Diego State,flynnma01
8,Ron Harper Jr.,PF,6-6,245,April 12 2000,us,R,Rutgers University,harpero02
41,Juancho Hernangómez,PF,6-9,214,September 28 1995,es,6,,hernaju01
35,Christian Koloko,C,7-1,230,June 20 2000,cm,R,Arizona,kolokch01
19,Jakob Poeltl,C,7-0,245,October 15 1995,at,6,Utah,poeltja01
32,Otto Porter Jr.,SF,6-8,198,June 3 1993,us,9,Georgetown,porteot01
43,Pascal Siakam,PF,6-8,230,April 2 1994,cm,6,New Mexico State,siakapa01
33,Gary Trent Jr.,SG,6-5,209,January 18 1999,us,4,Duke,trentga02
23,Fred VanVleet,PG,6-0,197,February 25 1994,us,6,Wichita State,vanvlfr01
11,Joe Wieskamp,SF,6-6,212,August 23 1999,us,1,Iowa,wieskjo01
21,Thaddeus Young,PF,6-8,235,June 21 1988,us,15,Georgia Tech,youngth01
21,Patrick Beverley,PG,6-2,180,July 12 1988,us,10,Arkansas,beverpa01
13,Tony Bradley,C,6-10,248,January 8 1998,us,5,UNC,bradlto01
6,Alex Caruso,PG,6-5,186,February 28 1994,us,5,Texas A&M,carusal01
11,DeMar DeRozan,SF,6-6,220,August 7 1989,us,13,USC,derozde01
12,Ayo Dosunmu,SG,6-5,200,January 17 2000,us,1,Illinois,dosunay01
7,Goran Dragić,PG,6-4,190,May 6 1986,si,14,,dragigo01
3,Andre Drummond,C,6-11,279,August 10 1993,us,10,UConn,drumman01
24,Javonte Green,SF,6-4,205,July 23 1993,us,3,Radford,greenja02
21,Malcolm Hill,SF,6-6,220,October 26 1995,us,1,Illinois,hillma01
22,Carlik Jones,PG,6-1,185,December 23 1997,us,1,Radford Louisville,jonesca03
5,Derrick Jones Jr.,PF,6-5,210,February 15 1997,us,6,UNLV,jonesde02
8,Zach LaVine,SG,6-5,200,March 10 1995,us,8,UCLA,lavinza01
19,Marko Simonovic,C,6-11,216,October 15 1999,me,1,,simonma01
32,Terry Taylor,PF,6-5,230,September 23 1999,us,1,Austin Peay State University,taylote01
25,Dalen Terry,SG,6-7,195,July 12 2002,us,R,Arizona,terryda01
9,Nikola Vučević,C,6-10,260,October 24 1990,ch,11,USC,vucevni01
0,Coby White,SG,6-5,195,February 16 2000,us,3,UNC,whiteco01
44,Patrick Williams,PF,6-7,215,August 26 2001,us,2,Florida State,willipa01
88,Goga Bitadze,C,6-11,250,July 20 1999,ge,3,,bitadgo01
12,Oshae Brissett,PF,6-7,210,June 20 1998,ca,3,Syracuse,brissos01
10,Kendall Brown,SG,6-8,205,May 11 2003,us,R,Baylor,brownke03
3,Chris Duarte,SF,6-6,190,June 13 1997,do,1,Oregon,duartch01
0,Tyrese Haliburton,PG,6-5,185,February 29 2000,us,2,Iowa State,halibty01
24,Buddy Hield,SF,6-4,220,December 17 1992,bs,6,Oklahoma,hieldbu01
7,George Hill,SG,6-4,188,May 4 1986,us,14,IUPUI,hillge01
22,Isaiah Jackson,C,6-10,206,January 10 2002,us,1,Kentucky,jacksis01
16,James Johnson,PF,6-7,240,February 20 1987,us,13,Wake Forest,johnsja01
00,Bennedict Mathurin,SG,6-6,210,June 19 2002,ca,R,Arizona,mathube01
9,T.J. McConnell,PG,6-1,190,March 25 1992,us,7,Duquesne Arizona,mccontj01
2,Andrew Nembhard,SG,6-5,193,January 16 2000,ca,R,Florida Gonzaga,nembhan01
23,Aaron Nesmith,SF,6-5,215,October 16 1999,us,2,Vanderbilt,nesmiaa01
13,Jordan Nwora,SF,6-8,225,September 9 1998,us,2,Louisville,nworajo01
8,Trevelin Queen,SG,6-6,190,February 25 1997,us,1,College of Marin New Mexico Military Institute New Mexico State,queentr01
25,Jalen Smith,C,6-10,215,March 16 2000,us,2,Maryland,smithja04
21,Terry Taylor,PF,6-5,230,September 23 1999,us,1,Austin Peay State University,taylote01
27,Daniel Theis,C,6-8,245,April 4 1992,de,5,,theisda01
33,Myles Turner,C,6-11,250,March 24 1996,us,7,Texas,turnemy01
32,Gabe York,SG,6-3,185,August 2 1993,us,1,Arizona,yorkga01
9,Deni Avdija,SF,6-9,210,January 3 2001,il,2,,avdijde01
5,Will Barton,SG,6-5,181,January 6 1991,us,10,Memphis,bartowi01
3,Bradley Beal,SG,6-4,207,June 28 1993,us,10,Florida,bealbr01
4,Jamaree Bouyea,PG,6-2,180,June 27 1999,us,R,San Francisco,bouyeja01
13,Vernon Carey Jr.,C,6-9,270,February 25 2001,us,2,Duke,careyve01
12,Xavier Cooks,PF,6-8,183,August 19 1995,au,R,Winthrop University,cooksxa01
1,Johnny Davis,SG,6-5,196,February 27 2002,us,R,Wisconsin,davisjo06
15,Devon Dotson,PG,6-2,185,August 2 1999,us,2,Kansas,dotsode01
21,Daniel Gafford,C,6-10,234,October 1 1998,us,3,Arkansas,gaffoda01
67,Taj Gibson,C,6-9,232,June 24 1985,us,13,USC,gibsota01
16,Anthony Gill,PF,6-7,230,October 17 1992,us,2,South Carolina Virginia,gillan01
7,Jordan Goodwin,PG,6-3,200,October 23 1998,us,1,Saint Louis,goodwjo01
8,Rui Hachimura,PF,6-8,230,February 8 1998,jp,3,Gonzaga,hachiru01
34,Jay Huff,C,7-1,240,August 25 1998,us,1,Virginia,huffja01
29,Quenton Jackson,PG,6-5,175,September 15 1998,us,R,Texas A&M,jacksqu01
24,Corey Kispert,SF,6-7,220,March 3 1999,us,1,Gonzaga,kispeco01
33,Kyle Kuzma,PF,6-9,221,July 24 1995,us,5,Utah,kuzmaky01
22,Monte Morris,PG,6-2,183,June 27 1995,us,5,Iowa State,morrimo01
20,Kendrick Nunn,SG,6-2,190,August 3 1995,us,2,Illinois Oakland,nunnke01
6,Kristaps Porziņģis,C,7-2,240,August 2 1995,lv,6,,porzikr01
20,Jordan Schakel,SF,6-6,200,June 13 1998,us,1,San Diego State,schakjo01
14,Isaiah Todd,PF,6-10,220,October 17 2001,us,1,,toddis01
55,Delon Wright,PG,6-5,185,April 26 1992,us,7,Utah,wrighde01
50,Cole Anthony,PG,6-2,185,May 15 2000,us,2,UNC,anthoco01
11,Mo Bamba,C,7-0,231,May 12 1998,us,4,Texas,bambamo01
5,Paolo Banchero,PF,6-10,250,November 12 2002,us,R,Duke,banchpa01
35,Goga Bitadze,C,6-11,250,July 20 1999,ge,3,,bitadgo01
10,Bol Bol,PF,7-3,220,November 16 1999,sd,3,Oregon,bolbo01
34,Wendell Carter Jr.,C,6-10,270,April 16 1999,us,4,Duke,cartewe01
11,Michael Carter-Williams,PG,6-5,190,October 10 1991,us,8,Syracuse,cartemi01
20,Markelle Fultz,PG,6-4,209,May 29 1998,us,5,Washington,fultzma01
13,R.J. Hampton,SG,6-4,175,February 7 2001,us,2,,hamptrj01
14,Gary Harris,SG,6-4,210,September 14 1994,us,8,Michigan State,harriga01
7,Kevon Harris,SG,6-5,216,June 24 1997,us,R,Stephen F. Austin,harrike01
2,Caleb Houstan,SF,6-8,205,January 9 2003,ca,R,Michigan,houstca01
1,Jonathan Isaac,PF,6-10,230,October 3 1997,us,3,Florida State,isaacjo01
3,Chuma Okeke,SF,6-6,229,August 18 1998,us,2,Auburn,okekech01
31,Terrence Ross,SG,6-6,206,February 5 1991,us,10,Washington,rosste01
25,Admiral Schofield,PF,6-5,241,March 30 1997,gb,2,Tennessee,schofad01
0,Jay Scrubb,SG,6-5,220,September 1 2000,us,2,John A. Logan College,scrubja01
4,Jalen Suggs,SG,6-5,205,June 3 2001,us,1,Gonzaga,suggsja01
22,Franz Wagner,SF,6-10,225,August 27 2001,de,1,Michigan,wagnefr01
21,Moritz Wagner,C,6-11,245,April 26 1997,de,4,Michigan,wagnemo01
1,LaMelo Ball,PG,6-7,180,August 22 2001,us,2,,ballla01
2,James Bouknight,SG,6-5,190,September 18 2000,us,1,UConn,bouknja01
20,Gordon Hayward,SF,6-7,225,March 23 1990,us,12,Butler,haywago01
23,Kai Jones,C,6-11,218,January 19 2001,bs,1,Texas,joneska01
9,Théo Maledon,PG,6-4,175,June 12 2001,fr,2,,maledth01
11,Cody Martin,SF,6-5,205,September 28 1995,us,3,NC State Nevada,martico01
6,Jalen McDaniels,SF,6-9,205,January 31 1998,us,3,San Diego State,mcdanja01
7,Bryce McGowens,SG,6-7,179,November 8 2002,us,R,Nebraska,mcgowbr01
10,Svi Mykhailiuk,SF,6-7,205,June 10 1997,ua,4,Kansas,mykhasv01
12,Kelly Oubre Jr.,SF,6-7,203,December 9 1995,us,7,Kansas,oubreke01
24,Mason Plumlee,C,6-10,254,March 5 1990,us,9,Duke,plumlma01
4,Nick Richards,C,7-0,245,November 29 1997,jm,2,Kentucky,richani01
3,Terry Rozier,SG,6-1,190,March 17 1994,us,7,Louisville,roziete01
14,Kobi Simmons,SG,6-5,166,July 4 1997,us,2,Arizona,simmoko01
8,Dennis Smith Jr.,PG,6-2,205,November 25 1997,us,5,NC State,smithde03
22,Xavier Sneed,SF,6-5,215,December 21 1997,us,1,Kansas State,sneedxa01
21,JT Thor,PF,6-10,205,August 26 2002,us,1,Auburn,thorjt01
25,P.J. Washington,PF,6-7,230,August 23 1998,us,3,Kentucky,washipj01
5,Mark Williams,C,7-0,241,December 16 2001,us,R,Duke,willima07
35,Marvin Bagley III,C,6-10,235,March 14 1999,us,4,Duke,baglema01
41,Saddiq Bey,SF,6-7,215,April 9 1999,us,2,Villanova,beysa01
27,Buddy Boeheim,SF,6-6,205,November 11 1999,us,R,Syracuse,boehebu01
44,Bojan Bogdanović,PF,6-7,226,April 18 1989,ba,8,,bogdabo02
5,Alec Burks,SG,6-6,214,July 20 1991,us,11,Colorado,burksal01
2,Cade Cunningham,PG,6-6,220,September 25 2001,us,1,Oklahoma State,cunnica01
6,Hamidou Diallo,SF,6-5,202,July 31 1998,us,4,Kentucky,diallha01
0,Jalen Duren,C,6-10,250,November 18 2003,us,R,Memphis,durenja01
14,R.J. Hampton,SG,6-4,175,February 7 2001,us,2,,hamptrj01
7,Killian Hayes,PG,6-5,195,July 27 2001,us,2,,hayeski01
23,Jaden Ivey,SG,6-4,195,February 13 2002,us,R,Purdue,iveyja01
18,Cory Joseph,PG,6-2,200,August 20 1991,ca,11,Texas,josepco01
8,Braxton Key,SF,6-8,230,February 14 1997,us,1,Alabama Virginia,keybr01
20,Kevin Knox,SF,6-7,215,August 11 1999,us,4,Kentucky,knoxke01
12,Isaiah Livers,PF,6-7,230,July 28 1998,us,1,Michigan,liveris01
17,Rodney McGruder,SG,6-4,205,July 29 1991,us,6,Kansas State,mcgruro01
9,Nerlens Noel,C,6-10,220,April 10 1994,us,8,Kentucky,noelne01
97,Eugene Omoruyi,SF,6-7,244,February 14 1997,ng,1,Rutgers University Oregon,omorueu01
8,Jared Rhoden,SG,6-6,210,August 27 1999,us,R,Seton Hall,rhodeja01
28,Isaiah Stewart,C,6-8,250,May 22 2001,us,2,Washington,stewais01
14,Stanley Umude,SG,6-6,210,April 12 1999,us,R,South Dakota Arkansas,umudest01
13,James Wiseman,C,7-0,240,March 31 2001,us,1,Memphis,wisemja01
0,Christian Braun,SG,6-6,218,April 17 2001,us,R,Kansas,braunch01
11,Bruce Brown,SF,6-4,202,August 15 1996,us,4,Miami (FL),brownbr01
13,Thomas Bryant,C,6-10,248,July 31 1997,us,5,Indiana,bryanth01
5,Kentavious Caldwell-Pope,SG,6-5,204,February 18 1993,us,9,Georgia,caldwke01
31,Vlatko Čančar,PF,6-8,236,April 10 1997,si,3,,cancavl01
50,Aaron Gordon,PF,6-8,235,September 16 1995,us,8,Arizona,gordoaa01
32,Jeff Green,PF,6-8,235,August 28 1986,us,14,Georgetown,greenje02
3,Bones Hyland,PG,6-2,173,September 14 2000,us,1,VCU,hylanbo01
7,Reggie Jackson,PG,6-2,208,April 16 1990,it,11,Boston College,jacksre01
15,Nikola Jokić,C,6-11,284,February 19 1995,rs,7,,jokicni01
6,DeAndre Jordan,C,6-11,265,July 21 1988,us,14,Texas A&M,jordade01
27,Jamal Murray,PG,6-4,215,February 23 1997,ca,5,Kentucky,murraja01
22,Zeke Nnaji,PF,6-9,240,January 9 2001,us,2,Arizona,nnajize01
1,Michael Porter Jr.,SF,6-10,218,June 29 1998,us,3,Missouri,portemi01
9,Davon Reed,SG,6-5,208,June 11 1995,us,3,Miami (FL),reedda01
14,Ish Smith,PG,6-0,175,July 5 1988,us,12,Wake Forest,smithis01
8,Peyton Watson,SG,6-8,200,September 11 2002,us,R,UCLA,watsope01
10,Jack White,SF,6-7,225,August 5 1997,au,R,Duke,whiteja03
4,Steven Adams,C,6-11,265,July 20 1993,nz,9,Pitt,adamsst01
7,Santi Aldama,PF,6-11,224,January 10 2001,es,1,Loyola (MD),aldamsa01
22,Desmond Bane,SG,6-5,215,June 25 1998,us,2,TCU,banede01
24,Dillon Brooks,SF,6-6,225,January 22 1996,ca,5,Oregon,brookdi01
1,Kennedy Chandler,PG,6-0,171,September 16 2002,us,R,Tennessee,chandke01
15,Brandon Clarke,PF,6-8,215,September 19 1996,ca,3,San Jose State Gonzaga,clarkbr01
0,Jacob Gilyard,PG,5-9,160,July 14 1998,us,R,Richmond,gilyaja01
14,Danny Green,SG,6-6,215,June 22 1987,us,13,UNC,greenda02
13,Jaren Jackson Jr.,C,6-10,242,September 15 1999,us,4,Michigan State,jacksja02
21,Tyus Jones,PG,6-1,196,May 10 1996,us,7,Duke,jonesty01
10,Luke Kennard,SG,6-5,206,June 24 1996,us,5,Duke,kennalu01
46,John Konchar,SF,6-5,210,March 22 1996,us,3,Purdue-Fort Wayne,konchjo01
