Jugador,Salario
Kenrich Williams,2000000
Théo Maledon,2000000
Svi Mykhailiuk,1663861
Josh Gray,1620564
Luguentz Dort,1517981
Isaiah Roby,1517981
Admiral Schofield,1517981
Zylan Cheatham,1445697
Moses Brown,1250000
Kyle Singler,999200
Patrick Patterson,737067
Frank Jackson,250000
Charlie Brown,217844
Justin Robinson,198040
Josh Hall,0
Jaylen Hoard,0
Karl-Anthony Towns,29467800
D'Angelo Russell,28649250
Ricky Rubio,17000000
Malik Beasley,13425895
Anthony Edwards,9757440
Jarrett Culver,6104280
Juancho Hernangómez,5718000
Ed Davis,5005350
Jake Layman,3761085
Josh Okogie,2651040
Jaden McDaniels,1964760
Jarred Vanderbilt,1663861
Jaylen Nowell,1517981
Naz Reid,1517981
Cole Aldrich,685340
Jordan McLaughlin,0
LeBron James,39219566
Anthony Davis,32742000
Dennis Schröder,16000000
Kentavious Caldwell-Pope,12073020
Montrezl Harrell,9258000
Luol Deng,5000000
Wesley Matthews,3623000
Kyle Kuzma,3562178
Alex Caruso,2750000
Marc Gasol,2564753
Quinn Cook,1797183
Alfonzo McKinnie,1762796
Jared Dudley,1620564
Markieff Morris,1620564
Talen Horton-Tucker,1517981
Jordan Bell,580062
Andre Drummond,554988
Ben McLemore,455090
Damian Jones,221996
Kostas Antetokounmpo,0
Devontae Cacok,0
Stephen Curry,43006362
Klay Thompson,35361360
Andrew Wiggins,29542010
Draymond Green,22246956
Kelly Oubre,14375000
James Wiseman,8730240
Kevon Looney,4821429
Jordan Poole,2063280
Damion Lee,1762796
Kent Bazemore,1620564
Mychal Mulder,1517981
Eric Paschall,1517981
Alen Smailagić,1517981
Shaun Livingston,666667
Juan Toscano-Anderson,358295
Gary Payton,233894
Nico Mannion,0
Jordan Bell,0
Paul George,35450412
Kawhi Leonard,34379100
Marcus Morris,14883721
Patrick Beverley,13333333
Serge Ibaka,9258000
Rajon Rondo,8250000
Ivica Zubac,7000000
Luke Kennard,5273826
Patrick Patterson,3077704
Reggie Jackson,1620564
Nicolas Batum,1620564
Terance Mann,1517984
Daniel Oturu,898310
DeMarcus Cousins,455091
Yogi Ferrell,325167
Malik Fitts,61528
Amir Coffey,0
Jay Scrubb,0
Chris Paul,41358814
Devin Booker,29467800
Deandre Ayton,10018200
Jae Crowder,9258000
Dario Šarić,9250000
Mikal Bridges,4359000
Jalen Smith,4245720
Cameron Johnson,4235160
Jevon Carter,3925000
Cameron Payne,1977011
Abdel Nader,1752950
Langston Galloway,1620564
Frank Kaminsky,1620564
E'Twaun Moore,1620564
Torrey Craig,1620564
Damian Jones,785285
Ty-Shon Alexander,0
Buddy Hield,24701834
Harrison Barnes,22215909
Delon Wright,9000000
Marvin Bagley,8963640
De'Aaron Fox,8099627
Jabari Parker,6500000
Richaun Holmes,5005350
Tyrese Haliburton,3831840
Maurice Harkless,3623000
Mfiondu Kabengele,2075880
Hassan Whiteside,1620564
Terence Davis,1517981
Justin James,1517981
Chris Silva,1517981
Robert Woodard,1500000
Jahmi'us Ramsey,1000000
Glenn Robinson,930930
Chimezie Metu,750000
Damian Jones,459961
Norvel Pelle,99020
Louis King,0
Kyle Guy,0
Gorgui Dieng,16587688
Jonas Valančiūnas,15000000
Justise Winslow,13000000
Dion Waiters,12650000
Dillon Brooks,11400000
De'Anthony Melton,9571712
Kyle Anderson,9505100
Ja Morant,9166800
Tyus Jones,7965100
Jaren Jackson,7257360
Marko Guduric,2750000
Brandon Clarke,2602920
Grayson Allen,2545320
John Konchar,2100000
Mario Hezonja,1977011
Desmond Bane,1936440
Jontay Porter,1900000
Xavier Tillman,1300000
Tim Frazier,518612
Dakari Johnson,459414
Sean McDermott,0
Killian Tillie,0
Nikola Jokić,29542010
Jamal Murray,27285000
Aaron Gordon,18136364
Will Barton,13723214
Paul Millsap,10000000
JaMychal Green,7199760
JaVale McGee,4200000
Michael Porter,3550800
Facundo Campazzo,3100000
Zeke Nnaji,2379840
Bol Bol,2058240
Gary Clark,2000000
PJ Dozier,1762796
Monte Morris,1723707
Vlatko Čančar,1517981
Austin Rivers,299694
Greg Whittington,0
Markus Howard,0
Shaquille Harrison,0
Blake Griffin,32670565
Jerami Grant,19050000
Cory Joseph,12600000
Mason Plumlee,8000000
Dennis Smith,5686677
Killian Hayes,5307120
Rodney McGruder,5192307
Josh Jackson,4767000
Sekou Doumbouya,3449400
Isaiah Stewart,3121080
Dewayne Dedmon,2866667
Saddiq Bey,2689920
Wayne Ellington,2564753
Džanan Musa,2002800
Jahlil Okafor,1882867
Hamidou Diallo,1663861
Deividas Sirvydis,898310
Tyler Cook,594121
Frank Jackson,0
Saben Lee,0
Gordon Hayward,28500000
Terry Rozier,18900000
Cody Zeller,15415730
Nicolas Batum,8856969
LaMelo Ball,7839960
Malik Monk,5345687
P.J. Washington,4023600
Miles Bridges,3934320
Bismack Biyombo,3500000
Brad Wanamaker,2250000
Devonte' Graham,1663861
Caleb Martin,1517981
Cody Martin,1517981
Jalen McDaniels,1517981
Vernon Carey,1350000
Nick Richards,1000000
Nate Darling,0
Grant Riller,0
Otto Porter,28489239
Gary Harris,19160714
Terrence Ross,13500000
Markelle Fultz,12288697
Jonathan Isaac,7362566
Mohamed Bamba,5969040
Wendell Carter,5448840
Michael Carter-Williams,3300000
James Ennis,3300000
Cole Anthony,3285120
Chuma Okeke,3121080
Khem Birch,2586036
R.J. Hampton,2193480
Dwayne Bacon,1678854
Jeff Teague,1620564
Donta Hall,277256
Moritz Wagner,221995
Robert Franks,198040
Ignas Brazdeikis,148530
Devin Cannady,61528
Karim Mané,0
Chasson Randle,0
Sindarius Thornwell,0
Russell Westbrook,41358814
Bradley Beal,28751774
Dāvis Bertāns,15000000
Thomas Bryant,8333333
Robin Lopez,7300000
Ish Smith,6000000
Rui Hachimura,4692840
Deni Avdija,4469160
Jerome Robinson,3737520
Chandler Hutchison,2443440
Isaac Bonga,1663861
Raul Neto,1620564
Daniel Gafford,1517981
Alex Len,1265372
Anthony Gill,898310
Anžejs Pasečņiks,374297
Jordan Bell,221996
Caleb Homesley,20000
Garrison Mathews,0
Cassius Winston,0
Malcolm Brogdon,20700000
Domantas Sabonis,19800000
Myles Turner,17500000
Caris LeVert,16203704
T.J. Warren,12000000
Jeremy Lamb,10500000
Doug McDermott,7333333
Justin Holiday,5720400
T.J. McConnell,3500000
Goga Bitadze,2957520
Aaron Holiday,2345640
Monta Ellis,2245400
Edmond Sumner,2160000
JaKarr Sampson,1620564
Jalen Lecque,1517981
Oshae Brissett,955493
Kelan Martin,801900
Amida Brimah,0
Cassius Stanley,0
Brian Bowen,0
Nikola Vučević,26000000
Zach LaVine,19500000
Thaddeus Young,13545000
Tomáš Satoranský,10000000
Al-Farouq Aminu,9720900
Cristiano Felício,7529020
Patrick Williams,7068360
Lauri Markkanen,6731508
Coby White,5572680
Daniel Theis,5000000
Garrett Temple,4767000
Denzel Valentine,4642800
Troy Brown,3372840
Ryan Arcidiacono,3000000
Javonte Green,1517981
Adam Mokoka,0
Devon Dotson,0
Pascal Siakam,30559200
Kyle Lowry,30500000
Fred VanVleet,21250000
Rodney Hood,10047450
Aron Baynes,7000000
Chris Boucher,6500000
Patrick McCaw,4000000
OG Anunoby,3872215
Stanley Johnson,3804150
Alex Len,2258000
Malachi Flynn,1950600
DeAndre' Bembry,1737145
Gary Trent,1663861
Paul Watson,1445697
Khem Birch,410691
Yuta Watanabe,321893
Oshae Brissett,300000
Freddie Gillespie,239959
Henry Ellenson,160998
Donta Hall,99020
Jalen Harris,0
Danilo Gallinari,19500000
Bogdan Bogdanović,18000000
Clint Capela,16000000
Tony Snell,12178571
Lou Williams,8000000
De'Andre Hunter,7422000
Trae Young,6571800
Onyeka Okongwu,5813640
Kris Dunn,4767000
Cam Reddish,4458000
John Collins,4137302
Kevin Huerter,2761920
Brandon Goodwin,1701593
Solomon Hill,1620564
Bruno Fernando,1517981
Khyri Thomas,744684
Nathan Knight,0
Skylar Mays,0
Jimmy Butler,34379100
Victor Oladipo,21000000
Goran Dragić,18000000
Andre Iguodala,15000000
Trevor Ariza,12800000
Nemanja Bjelica,7150000
Ryan Anderson,5214583
Bam Adebayo,5115492
Tyler Herro,3822240
Precious Achiuwa,2582160
Duncan Robinson,1663861
Kendrick Nunn,1663861
Udonis Haslem,1620564
KZ Okpala,1517981
Dewayne Dedmon,432890
A.J. Hammons,350087
Omer Yurtseven,18458
Max Strus,0
Gabe Vincent,0
James Harden,41254920
Kevin Durant,39058950
Kyrie Irving,33460350
Joe Harris,16071429
Spencer Dinwiddie,11454048
DeAndre Jordan,10375678
Jeff Green,2564753
Landry Shamet,2090040
Timothé Luwawu-Cabarrot,1824003
Bruce Brown,1663861
Tyler Johnson,1620564
Nic Claxton,1517981
Blake Griffin,776983
Alize Johnson,621587
Iman Shumpert,558153
LaMarcus Aldridge,554988
Andre Roberson,274816
Noah Vonleh,263995
Mike James,237648
Norvel Pelle,217845
Tyler Cook,99020
Chris Chiozza,0
Reggie Perry,0
Kevin Love,31258256
Andre Drummond,27957238
Taurean Prince,12250000
Larry Nance,11709091
Cedi Osman,8840580
Darius Garland,6720720
Isaac Okoro,6400920
Collin Sexton,4991880
Jarrett Allen,3909902
Dylan Windler,2137440
Damyean Dotson,2000000
Matthew Dellavedova,1620564
Isaiah Hartenstein,1620564
Dean Wade,1517981
J.R. Smith,1456667
Lamar Stevens,652366
Mfiondu Kabengele,356473
Rayjon Tucker,340000
Thon Maker,309355
Quinn Cook,221996
Anderson Varejão,144297
Yogi Ferrell,110998
Jeremiah Martin,0
Brodric Thomas,0
Marques Bolden,0
Khris Middleton,33051724
Giannis Antetokounmpo,27528088
Jrue Holiday,25876111
Brook Lopez,12697675
P.J. Tucker,7969537
Pat Connaughton,4938273
Bobby Portis,3623000
Jon Leuer,3169348
Donte DiVincenzo,3044160
Bryn Forbes,2337145
Larry Sanders,1865546
Rodions Kurucs,1780152
Thanasis Antetokounmpo,1701593
Sam Merrill,898310
Jordan Nwora,898310
Jeff Teague,510589
Mamadi Diakite,160173
Elijah Bryant,24611
Justin Jackson,0
Axel Toupane,0
Julius Randle,18900000
RJ Barrett,8231760
Derrick Rose,7682926
Joakim Noah,6431667
Frank Ntilikina,6176578
Alec Burks,6000000
Elfrid Payton,5767000
Nerlens Noel,5000000
Obi Toppin,4862040
Kevin Knox,4588680
Reggie Bullock,4200000
Terrance Ferguson,3944013
Luca Vildoza,3500000
Vincent Poirier,2619207
Taj Gibson,2442968
Immanuel Quickley,2105520
Jacob Evans,2017320
Omari Spellman,1988280
Mitchell Robinson,1663861
Wayne Ellington,1000000
Norvel Pelle,698040
John Henson,110998
Jared Harper,99020
Tyler Hall,25000
Andrew White,25000
Theo Pinson,0
Myles Powell,0
Tobias Harris,34358850
Ben Simmons,30559200
Joel Embiid,29542010
Danny Green,15365853
George Hill,9590602
Seth Curry,7834449
Mike Scott,5005350
Matisse Thybulle,2711280
Tyrese Maxey,2478840
Furkan Korkmaz,1762796
Shake Milton,1701593
Dwight Howard,1620564
Ignas Brazdeikis,1517981
Isaiah Joe,898310
Paul Reed,609128
Anthony Tolliver,485498
Justin Anderson,125000
Rayjon Tucker,0
Mason Jones,0
Gary Clark,0
Kemba Walker,34379100
Jaylen Brown,23437500
Evan Fournier,17450000
Marcus Smart,13446428
Jayson Tatum,9897120
Tristan Thompson,9258000
Romeo Langford,3631200
Aaron Nesmith,3458400
Grant Williams,2498760
Luke Kornet,2250000
Moritz Wagner,2161920
Payton Pritchard,2035800
Robert Williams,2029920
Semi Ojeleye,1752950
Carsen Edwards,1517981
Guerschon Yabusele,1039080
Jabari Parker,430729
Demetrius Jackson,92857
Tremont Waters,0
Tacko Fall,0
